"","mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",2,0.476832199057066,0.61506509015066,0.370305615153718,0.00314185887607895,0.00470265670774419,0.0020361842057623
"2",4,0.423948435953412,0.664388324547526,0.32457213302096,0.00244817172228605,0.00331897048388793,0.00261486765692531
"3",6,0.407007951748179,0.684229806508779,0.309160083374937,0.00198244589344129,0.00315509525839729,0.00224176439551895
"4",8,0.400379714013346,0.692485733363176,0.302642142407922,0.00220832214953156,0.00371563378687845,0.00222517366787566
"5",10,0.39730408591932,0.696446755535127,0.29934836694384,0.00226332756072273,0.00381542851730397,0.00225457759770582
